player_id,full_name,recent_team,season,week,pass_comp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rec,rec_yds,position,headshot_url,scrim_yds
00-0036328,Antonio Gibson,WAS,2022,1,0,0,0,0,0,14,58,7,72,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/un4o255q07fjcbknndwn",130
00-0036331,Devin Duvernay,BAL,2022,1,0,0,0,0,0,0,0,4,54,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rvj5nmfasxafutemnvyx",54
00-0036332,Josiah Deguara,GB,2022,1,0,0,0,0,0,0,0,2,28,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ytgijlfni4cyqs0zozhz",28
00-0036345,KJ Osborn,MIN,2022,1,0,0,0,0,0,0,0,3,14,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p44nhjopxr4mwncbdx5l",14
00-0036355,Justin Herbert,LAC,2022,1,26,34,279,3,0,2,3,0,0,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qknkhe4w6liovjubzmnh",3
00-0036358,CeeDee Lamb,DAL,2022,1,0,0,0,0,0,0,0,2,29,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f8elvw51jgvzf95weg1o",29
00-0036360,Clyde Edwards-Helaire,KC,2022,1,0,0,0,0,0,7,42,3,32,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wjii8ls1n8e5gjf9ytnm",74
00-0036365,Bryan Edwards,ATL,2022,1,0,0,0,0,0,0,0,0,0,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hgluubcedtu0vmxjxrcf",0
00-0036370,Joshua Kelley,LAC,2022,1,0,0,0,0,0,4,21,2,14,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkmbetcbkpd4gikkpa38",35
00-0036383,Eno Benjamin,ARI,2022,1,0,0,0,0,0,4,28,3,33,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xvtbawgh0kycl6caxrb5",61
