dateGame,locationGame,slugTeam,Opp,namePlayer,3-pointers,fg3a,rebounds,assists,steals,blocks,turnovers,points,urlPlayerHeadshot
2021-11-01,H,MIN,ORL,Jaden McDaniels,1,3,2,1,2,0,2,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630183.png
2021-11-01,H,MIN,ORL,Leandro Bolmaro,0,0,1,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630195.png
2021-11-01,H,MIN,ORL,Nathan Knight,0,0,1,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630233.png
2021-11-01,A,ORL,MIN,Franz Wagner,5,9,4,2,2,1,0,28,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png
2021-11-01,A,ORL,MIN,Jalen Suggs,1,6,4,1,0,1,5,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630591.png
2021-11-01,A,ORL,MIN,Terrence Ross,1,2,3,4,1,0,0,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203082.png
2021-11-01,H,MIN,ORL,Karl-Anthony Towns,4,8,16,6,2,0,2,23,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626157.png
2021-11-01,H,MIN,ORL,Malik Beasley,3,12,6,2,1,0,2,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png
2021-11-01,A,ORL,MIN,Moritz Wagner,0,0,1,0,0,0,0,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629021.png
2021-11-01,H,MIN,ORL,Jordan McLaughlin,1,5,0,4,0,0,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629162.png
2021-11-01,A,ORL,MIN,Chuma Okeke,2,7,4,2,0,0,0,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629643.png
2021-11-01,H,MIN,ORL,Naz Reid,1,3,2,1,0,0,1,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629675.png
2021-11-01,A,ORL,MIN,Cole Anthony,6,11,9,8,2,1,4,31,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png
2021-11-01,A,ORL,MIN,RJ Hampton,0,2,2,0,0,0,1,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630181.png
2021-11-01,H,MIN,ORL,Josh Okogie,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629006.png
2021-11-01,H,MIN,ORL,Taurean Prince,1,5,0,1,1,0,1,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627752.png
