week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,WR,PHI,a,NYG,1.6,3000,Josh Huff
17,2014,WR,BUF,a,NE,1.3,3200,Chris Hogan
17,2014,WR,LV,a,DEN,1.2,3900,Kenbrell Thompkins
17,2014,WR,DAL,a,WAS,0.1,3000,Dwayne Harris
17,2014,WR,CHI,a,MIN,0,3000,Marc Mariani
17,2014,WR,ATL,h,CAR,0,3000,Drew Davis
17,2014,WR,CLE,a,BAL,0,3000,Marlon Moore
17,2014,WR,PIT,h,CIN,0,3000,Darrius Heyward-Bey
17,2014,WR,NYG,h,PHI,0,3000,Kevin Ogletree
17,2014,WR,BUF,a,NE,0,3000,Marcus Easley
17,2014,WR,GB,h,DET,0,3000,Jarrett Boykin
17,2014,WR,KC,h,SDG,0,3800,Albert Wilson
17,2014,WR,ATL,h,CAR,0,3000,Eric Weems
17,2014,WR,NYJ,a,MIA,0,3000,TJ Graham
17,2014,WR,SEA,h,STL,0,3000,Ricardo Lockette
17,2014,WR,MIN,h,CHI,0,3000,Cordarrelle Patterson
17,2014,WR,KC,h,SDG,0,3000,Junior Hemingway
17,2014,WR,DET,a,GB,0,3000,Corey Fuller
17,2014,WR,PHI,a,NYG,0,3000,Brad Smith
17,2014,WR,HOU,h,JAX,0,3000,Keshawn Martin
17,2014,WR,DEN,h,LV,0,3000,Andre Caldwell
17,2014,WR,GB,h,DET,0,3000,Davante Adams
17,2014,WR,SEA,h,STL,0,3000,Chris Matthews
17,2014,WR,NYJ,a,MIA,0,3000,Saalim Hakim
17,2014,WR,SEA,h,STL,0,3000,Bryan Walters
17,2014,WR,CLE,a,BAL,0,3000,Rodney Smith
17,2014,WR,CAR,a,ATL,0,3000,Brenton Bersin
17,2014,WR,NO,a,TB,0,3000,Jalen Saunders
17,2014,WR,IND,a,TEN,0,7400,TY Hilton
17,2014,WR,PIT,h,CIN,0,3000,Lance Moore
17,2014,WR,TEN,h,IND,0,3000,Kris Durham
17,2014,WR,NE,h,BUF,0,3000,Matthew Slater
17,2014,WR,KC,h,SDG,0,3000,Frankie Hammond
17,2014,WR,DAL,a,WAS,0,3000,Devin Street
17,2014,WR,MIA,h,NYJ,0,5600,Mike Wallace
17,2014,WR,ARI,a,SF,0,3000,Jaron Brown
