posteam,defteam,week,play_type,yards_gained,sack,epa,play_clock
LV,BAL,1,pass,0,0,-5.257569836510811,2
BAL,LV,1,pass,0,0,-0.2905924692749977,1
BAL,LV,1,pass,10,0,1.1051533555146307,8
BAL,LV,1,run,3,0,-0.6491496870294213,11
BAL,LV,1,pass,0,0,-0.7665479956194758,3
BAL,LV,1,pass,-6,1,-4.155587271961849,1
LV,BAL,1,run,1,0,-0.6173752326867543,9
LV,BAL,1,pass,31,0,4.194232908717822,5
CHI,LA,1,pass,4,0,-0.08346771961078048,11
CHI,LA,1,run,41,0,2.9740763917798176,20
CHI,LA,1,run,0,0,-0.3428848016774282,5
CHI,LA,1,pass,9,0,0.8290339519735426,6
CHI,LA,1,pass,0,0,-5.832754408591427,6
LA,CHI,1,run,6,0,0.18481592554599047,15
LA,CHI,1,pass,7,0,0.5840211261529475,19
LA,CHI,1,pass,67,0,4.560243566753343,7
CHI,LA,1,run,14,0,0.9397166054695845,8
CHI,LA,1,pass,5,0,0.10182992601767182,8
CHI,LA,1,pass,10,0,1.0450550806708634,18
CHI,LA,1,pass,0,0,-0.5831278958357871,11
CHI,LA,1,run,2,0,-0.8234251532703638,8
CHI,LA,1,pass,4,0,-1.3375387971755117,4
CHI,LA,1,pass,0,0,-2.748855978017673,2
LA,CHI,1,pass,1,0,-0.4896378384437412,10
LA,CHI,1,pass,18,0,1.551657662494108,24
LA,CHI,1,run,1,0,-0.5762129907961935,4
LA,CHI,1,pass,4,0,-0.21177208982408047,7
LA,CHI,1,pass,0,0,-1.9377298413997996,5
CHI,LA,1,run,-3,0,-1.2934767433907837,10
CHI,LA,1,pass,19,0,3.2374437821563333,5
CHI,LA,1,run,-2,0,-0.9823495403397828,9
CHI,LA,1,pass,-2,0,-1.2921962444670498,4
CHI,LA,1,pass,10,0,-0.3608367459382862,3
CHI,LA,1,pass,-4,1,-2.9955564332194626,1
LA,CHI,1,pass,17,0,0.8094311028253287,12
LA,CHI,1,run,2,0,-0.5316140011418611,4
LA,CHI,1,run,7,0,0.5451001912588254,9
LA,CHI,1,run,0,0,-1.2622790725436062,24
LA,CHI,1,pass,13,0,2.4192599988309667,3
LA,CHI,1,pass,17,0,1.5474457486416213,2
LA,CHI,1,run,-2,0,-0.7417306778952479,8
LA,CHI,1,pass,0,0,-0.9975789114832878,3
LA,CHI,1,pass,0,0,-1.6256247806787298,3
CHI,LA,1,run,1,0,-0.5712248804047704,12
CHI,LA,1,pass,9,0,1.022598939947784,6
CHI,LA,1,pass,7,0,0.404011306585744,4
CHI,LA,1,run,3,0,0.3371327752247453,5
CHI,LA,1,run,5,0,0.04781867261044681,5
CHI,LA,1,pass,3,0,-0.12955021858215332,8
CHI,LA,1,pass,0,0,-1.9251521362457424,2
LA,CHI,1,pass,1,0,-0.6800777013413608,19
LA,CHI,1,pass,-9,1,-1.6386515356134623,4
LA,CHI,1,pass,6,0,-0.07037261268123984,9
CHI,LA,1,pass,10,0,0.6508510109269992,6
CHI,LA,1,run,10,0,0.42645979346707463,10
CHI,LA,1,run,3,0,-0.1887376251979731,6
CHI,LA,1,pass,9,0,1.0564156176988035,8
CHI,LA,1,run,3,0,-0.2104978037532419,9
CHI,LA,1,pass,8,0,0.8619035211740993,7
CHI,LA,1,run,0,0,-0.5475694584893063,3
CHI,LA,1,run,9,0,0.9941354293841869,3
CHI,LA,1,run,3,0,1.610969654750079,17
LA,CHI,1,pass,0,0,-0.7317551849409938,6
LA,CHI,1,run,0,0,-0.7028966164216399,1
LA,CHI,1,pass,19,0,2.5466694943606853,18
LA,CHI,1,pass,56,0,4.046698322985321,20
CHI,LA,1,pass,6,0,0.35416025249287486,15
CHI,LA,1,run,1,0,-0.7229409459978342,10
CHI,LA,1,pass,7,0,1.357948066201061,4
CHI,LA,1,run,6,0,0.20076619344763458,10
CHI,LA,1,pass,10,0,0.8069742675870657,11
CHI,LA,1,pass,0,0,-0.5529527065809816,11
CHI,LA,1,pass,8,0,0.1670060371980071,3
CHI,LA,1,pass,3,0,1.1695674294605851,4
CHI,LA,1,run,4,0,-0.17489009257405996,8
CHI,LA,1,pass,10,0,1.2034149509854615,10
CHI,LA,1,run,4,0,-0.13027809467166662,1
CHI,LA,1,run,6,0,0.7107528137275949,7
CHI,LA,1,pass,1,0,-0.4316826587310061,6
CHI,LA,1,run,1,0,-0.8154893390601501,4
CHI,LA,1,pass,11,0,2.393854040361475,11
CHI,LA,1,run,3,0,0.8671133331372403,1
LA,CHI,1,run,5,0,-0.017835620557889342,5
LA,CHI,1,pass,0,0,-0.807689112611115,26
LA,CHI,1,pass,6,0,1.497074682964012,1
LA,CHI,1,pass,37,0,1.9626838346011937,18
LA,CHI,1,pass,3,0,-0.13851248670835048,3
LA,CHI,1,pass,6,0,0.3820485780015588,22
LA,CHI,1,pass,17,0,1.7207550084567629,12
LA,CHI,1,run,1,0,0.44456109817838296,8
CHI,LA,1,pass,5,0,0.039828061824664474,7
CHI,LA,1,pass,11,0,0.9550441794563085,17
CHI,LA,1,pass,0,0,-0.5887430105358362,3
CHI,LA,1,run,8,0,0.23994061816483736,10
CHI,LA,1,run,5,0,1.1985833053477108,15
CHI,LA,1,pass,9,0,0.765197045286186,7
CHI,LA,1,run,4,0,0.12759427807759494,3
CHI,LA,1,pass,9,0,0.7861146065406501,8
CHI,LA,1,run,3,0,0.044400466489605606,16
CHI,LA,1,pass,-15,1,-2.109111453522928,5
CHI,LA,1,pass,0,0,-1.0214696878101677,2
CHI,LA,1,pass,10,0,0.328107500099577,2
CHI,LA,1,pass,0,0,-3.3414762440370396,2
LA,CHI,1,run,5,0,-0.20973248477093875,15
LA,CHI,1,run,8,0,0.8232629941776395,8
LA,CHI,1,run,9,0,1.3235383124556392,1
LA,CHI,1,run,5,0,0.11109373299404979,3
LA,CHI,1,run,2,0,-0.33374540926888585,2
LA,CHI,1,pass,15,0,2.571058154455386,10
LA,CHI,1,pass,9,0,0.3468990239780396,2
LA,CHI,1,run,2,0,-0.34345733269583434,7
LA,CHI,1,run,15,0,2.4030714436376,1
LA,CHI,1,pass,0,0,-0.4373813044221606,21
LA,CHI,1,run,3,0,-0.3909600803744979,5
LA,CHI,1,pass,2,0,2.0694136839010753,14
CHI,LA,1,pass,5,0,0.11904649797361344,14
CHI,LA,1,pass,6,0,0.5938747546169907,27
CHI,LA,1,pass,0,0,-0.5233945163199678,27
CHI,LA,1,pass,0,0,-0.55437965237069875,4
CHI,LA,1,pass,0,0,-1.1117938212119043,20
CHI,LA,1,pass,-9,1,-3.246907785825897,2
LA,CHI,1,run,3,0,-0.1186803100281395,20
LA,CHI,1,run,8,0,0.9912604111596011,18
CLE,KC,1,run,2,0,-0.46613456634804606,6
CLE,KC,1,pass,8,0,1.0874765301123261,5
CLE,KC,1,run,6,0,0.3952904879115522,9
CLE,KC,1,pass,14,0,1.1123486727010459,6
CLE,KC,1,pass,0,0,-0.522469779709354,1
CLE,KC,1,run,7,0,0.006622070912271738,2
CLE,KC,1,pass,16,0,2.1037743375636637,4
CLE,KC,1,run,-1,0,-0.8019522664835677,8
CLE,KC,1,pass,0,0,-0.5515302263665944,1
CLE,KC,1,pass,8,0,-0.35557180718751624,1
CLE,KC,1,pass,5,0,2.2274715457460843,6
CLE,KC,1,run,6,0,0.4672738367225975,6
CLE,KC,1,run,4,0,1.5271787976380438,5
KC,CLE,1,run,-2,0,-1.0021909144707024,17
KC,CLE,1,pass,17,0,2.108025872381404,9
KC,CLE,1,run,4,0,-0.12189508718438447,10
KC,CLE,1,pass,9,0,1.00739940488711,7
KC,CLE,1,pass,11,0,0.574430973501876,2
KC,CLE,1,pass,24,0,1.5825151440221816,13
KC,CLE,1,run,4,0,-0.17587450059363618,5
KC,CLE,1,pass,0,0,-0.7797889181529172,3
KC,CLE,1,pass,9,0,-0.5314613744989654,10
CLE,KC,1,pass,44,0,2.8979128104401752,7
CLE,KC,1,pass,17,0,1.1100960954790935,5
CLE,KC,1,run,2,0,-0.4296403014450334,5
CLE,KC,1,pass,3,0,-0.3458330416469835,6
CLE,KC,1,run,4,0,-0.5080458988668397,5
CLE,KC,1,run,5,0,3.3592465936671942,7
KC,CLE,1,pass,8,0,0.554569742642343,11
KC,CLE,1,run,1,0,-0.293123968411237,12
KC,CLE,1,run,2,0,0.5027694159653038,10
KC,CLE,1,pass,-6,0,-1.3489489385392517,8
KC,CLE,1,pass,4,0,-0.19829140277579427,18
KC,CLE,1,pass,11,0,1.8111828584223986,6
KC,CLE,1,pass,0,0,-0.44405449740588665,4
KC,CLE,1,pass,6,0,-0.06958134029991925,3
KC,CLE,1,pass,22,0,2.342004032805562,4
KC,CLE,1,pass,19,0,1.5587227945216,8
KC,CLE,1,pass,-2,0,-0.794392922136467,4
KC,CLE,1,run,5,0,1.7406565509154461,8
CLE,KC,1,pass,9,0,0.5221085669472814,3
CLE,KC,1,run,17,0,1.483715729904361,8
CLE,KC,1,pass,10,0,0.6299617390031926,8
