Position,Player,Points,Salary,Team,Opp,Minutes,Stats,Date,Started,Home.Away,TeamScore,OppScore,Win.Loss
SG,Rodney Stuckey,9.4,5000,ind,pho,20,  9pt 2rb 2to 1trey 4-10fg 0-0ft,2014-12-02,Yes,Away,99,116,Loss
PG,Jerryd Bayless,8.7,3500,mil,cle,16,  6pt 1rb 1as 3-5fg 0-0ft,2014-12-02,No,Away,108,111,Loss
PG,Jarrett Jack,7.1,4500,bkn,nyk,18,  4pt 3rb 1as 1st 4to 2-8fg 0-0ft,2014-12-02,No,Away,98,93,Win
SG,Tim Hardaway Jr.,6.7,3500,nyk,bkn,14,  2pt 1rb 1as 1st 1-7fg 0-0ft,2014-12-02,No,Home,93,98,Loss
SG,Gary Harris,6.7,3900,den,por,7,  2pt 1rb 1as 1st 0-2fg 2-2ft,2014-12-02,No,Home,103,105,Loss
PG,Ronnie Price,6.2,3600,lal,det,18,  0pt 1rb 2as 1st 0-2fg 0-0ft,2014-12-02,No,Away,106,96,Win
SG,Ben Gordon,6.2,3500,orl,gsw,16,  6pt 1rb 1to 3-6fg 0-0ft,2014-12-02,No,Away,97,98,Loss
PG,Shelvin Mack,6.2,3800,atl,bos,6,  0pt 1rb 2as 1bl 0-2fg 0-0ft,2014-12-02,No,Home,109,105,Win
SG,Allen Crabbe,6.1,3500,por,den,17,  0pt 3rb 1as 1bl 1to 0-2fg 0-0ft,2014-12-02,No,Away,105,103,Win
SG,Nik Stauskas,6,3500,sac,tor,17,  6pt 1-2fg 4-6ft,2014-12-02,No,Home,109,117,Loss
SG,Leandro Barbosa,5.4,3500,gsw,orl,13,  2pt 2rb 1st 1to 0-4fg 2-2ft,2014-12-02,No,Home,98,97,Win
PG,Shaun Livingston,5.2,3700,gsw,orl,12,  4pt 1rb 2-2fg 0-0ft,2014-12-02,No,Home,98,97,Win
SG,Alan Anderson,3.5,3500,bkn,nyk,12,  2pt 1as 1-3fg 0-0ft,2014-12-02,No,Away,98,93,Win
PG,Archie Goodwin,3.2,3500,pho,ind,2,  2pt 1rb 1-2fg 0-1ft,2014-12-02,No,Home,116,99,Win
SG,Willie Green,3.2,3500,orl,gsw,19,  2pt 1rb 1-7fg 0-0ft,2014-12-02,No,Away,97,98,Loss
SG,Louis Williams,3,4900,tor,sac,19,  4pt 1to 1-9fg 2-2ft,2014-12-02,No,Away,117,109,Win
SG,Joe Harris,3,3500,cle,mil,7,  0pt 2as 0-0fg 0-0ft,2014-12-02,No,Home,111,108,Win
SG,Austin Rivers,3,3500,nor,okc,12,  5pt 2to 1trey 1-3fg 2-4ft,2014-12-02,No,Home,112,104,Win
PG,Nate Robinson,2,4800,den,por,5,  0pt 1st 0-5fg 0-0ft,2014-12-02,No,Home,103,105,Loss
PG,Jimmer Fredette,2,3500,nor,okc,4,  0pt 1st 0-2fg 0-0ft,2014-12-02,No,Home,112,104,Win
SG,Thabo Sefolosha,1.5,4100,atl,bos,7,  0pt 1as 0-3fg 0-0ft,2014-12-02,No,Home,109,105,Win
SG,Dion Waiters,0.5,4200,cle,mil,9,  0pt 1as 1to 0-1fg 0-0ft,2014-12-02,No,Home,111,108,Win
PG,Tyler Ennis,0.5,3500,pho,ind,2,  0pt 1as 1to 0-1fg 0-0ft,2014-12-02,No,Home,116,99,Win
SG,Tony Snell,0,3500,chi,dal,6,  0pt 0-0fg 0-0ft,2014-12-02,No,Home,129,132,Loss
PG,Jorge Gutierrez,0,3500,bkn,nyk,3,  0pt 0-0fg 0-0ft,2014-12-02,No,Away,98,93,Win
PG,Ishmael Smith,0,3500,okc,nor,0,  0pt 0-0fg 0-0ft,2014-12-02,No,Away,104,112,Loss
PF,Anthony Davis,62,11600,nor,okc,39,  25pt 10rb 4as 6st 4bl 1to 8-15fg 9-16ft,2014-12-02,Yes,Home,112,104,Win
PF,LaMarcus Aldridge,57.7,9500,por,den,38,  39pt 11rb 1as 2bl 16-30fg 7-9ft,2014-12-02,Yes,Away,105,103,Win
PF,Pau Gasol,49.8,8900,chi,dal,50,  29pt 14rb 2as 1st 1bl 3to 12-25fg 5-5ft,2014-12-02,Yes,Home,129,132,Loss
PF,Paul Millsap,46.7,8300,atl,bos,38,  19pt 6rb 7as 3st 3bl 2to 7-15fg 5-5ft,2014-12-02,Yes,Home,109,105,Win
PF,Dirk Nowitzki,44.4,7400,dal,chi,42,  22pt 7rb 10as 1to 2trey 8-22fg 4-4ft,2014-12-02,Yes,Away,132,129,Win
SF,Josh Smith,42,7600,det,lal,33,  18pt 10rb 6as 3st 1bl 5to 7-17fg 4-4ft,2014-12-02,Yes,Home,96,106,Loss
PF,Ryan Anderson,41.7,5900,nor,okc,35,  23pt 11rb 1as 2st 2trey 7-15fg 7-7ft,2014-12-02,No,Home,112,104,Win
SF,Rudy Gay,40.2,8000,sac,tor,39,  20pt 6rb 10as 1bl 4to 1trey 8-16fg 3-3ft,2014-12-02,Yes,Home,109,117,Loss
SF,LeBron James,40,10800,cle,mil,41,  26pt 5rb 10as 7to 6-15fg 14-21ft,2014-12-02,Yes,Home,111,108,Win
SF,Carmelo Anthony,39.8,9000,nyk,bkn,43,  20pt 9rb 6as 1st 2to 1trey 7-22fg 5-5ft,2014-12-02,Yes,Home,93,98,Loss
SF,Chandler Parsons,39.4,6200,dal,chi,45,  24pt 7rb 2as 3st 2to 3trey 7-16fg 7-8ft,2014-12-02,Yes,Away,132,129,Win
SF,Jabari Parker,37.1,5800,mil,cle,38,  22pt 8rb 3as 2st 3to 11-15fg 0-0ft,2014-12-02,Yes,Away,108,111,Loss
SF,Mike Dunleavy,34.8,5000,chi,dal,49,  20pt 4rb 4as 1st 1bl 2trey 8-15fg 2-2ft,2014-12-02,Yes,Home,129,132,Loss
PF,Kevin Love,34,8700,cle,mil,40,  27pt 10rb 1bl 7to 4trey 10-16fg 3-5ft,2014-12-02,Yes,Home,111,108,Win
SF,Nicolas Batum,32.3,6500,por,den,36,  4pt 4rb 13as 3st 2to 2-6fg 0-0ft,2014-12-02,Yes,Away,105,103,Win
PF,Jared Sullinger,32.3,7000,bos,atl,30,  22pt 9rb 1as 2to 4trey 9-16fg 0-0ft,2014-12-02,Yes,Away,105,109,Loss
SF,Harrison Barnes,31.9,4900,gsw,orl,33,  14pt 12rb 1as 1st 1trey 5-9fg 3-5ft,2014-12-02,Yes,Home,98,97,Win
SF,Tobias Harris,31.9,7300,orl,gsw,38,  17pt 7rb 5as 1to 6-14fg 5-5ft,2014-12-02,Yes,Away,97,98,Loss
SF,Wilson Chandler,31.5,5700,den,por,33,  18pt 10rb 1as 2st 4to 3trey 7-13fg 1-1ft,2014-12-02,Yes,Home,103,105,Loss
SF,James Johnson,30.4,3900,tor,sac,28,  19pt 7rb 1st 1bl 1to 1trey 9-13fg 0-1ft,2014-12-02,No,Away,117,109,Win
SF,Jeff Green,29.8,6600,bos,atl,36,  25pt 4rb 1st 2to 1trey 10-16fg 4-4ft,2014-12-02,Yes,Away,105,109,Loss
PF,Amare Stoudemire,29.8,5400,nyk,bkn,37,  17pt 9rb 2as 1bl 3to 6-10fg 5-7ft,2014-12-02,Yes,Home,93,98,Loss
PF,Carlos Boozer,29.4,6400,lal,det,26,  14pt 7rb 2as 2st 7-13fg 0-0ft,2014-12-02,Yes,Away,106,96,Win
SF,Kevin Durant,28.6,10000,okc,nor,30,  27pt 3rb 2as 5to 3trey 9-18fg 6-7ft,2014-12-02,Yes,Away,104,112,Loss
SF,Wesley Johnson,27.4,4400,lal,det,29,  13pt 2rb 2as 1st 4bl 1to 3trey 5-6fg 0-1ft,2014-12-02,Yes,Away,106,96,Win
PF,Nikola Mirotic,27.3,4800,chi,dal,26,  15pt 4rb 3as 2bl 1to 4-8fg 7-8ft,2014-12-02,No,Home,129,132,Loss
SF,Draymond Green,26.4,6500,gsw,orl,34,  11pt 7rb 6as 1st 4to 4-12fg 3-4ft,2014-12-02,Yes,Home,98,97,Win
PF,Greg Monroe,25.5,6600,det,lal,26,  8pt 10rb 3as 1st 1to 2-7fg 4-6ft,2014-12-02,No,Home,96,106,Loss
SF,Terrence Ross,23.8,4800,tor,sac,30,  20pt 4rb 1to 4trey 8-15fg 0-0ft,2014-12-02,Yes,Away,117,109,Win
PF,Markieff Morris,23.7,7300,pho,ind,30,  15pt 6rb 1as 6-16fg 3-3ft,2014-12-02,Yes,Home,116,99,Win
PF,Kevin Garnett,23.6,5000,bkn,nyk,29,  6pt 13rb 2as 1st 3to 3-11fg 0-0ft,2014-12-02,Yes,Away,98,93,Win
SF,Jeremy Lamb,23,5600,okc,nor,15,  15pt 5rb 1st 1trey 5-7fg 4-5ft,2014-12-02,No,Away,104,112,Loss
PF,Derrick Williams,22.8,3500,sac,tor,14,  18pt 4rb 1trey 8-12fg 1-3ft,2014-12-02,No,Home,109,117,Loss
SF,Omri Casspi,22.3,4100,sac,tor,23,  9pt 4rb 5as 1st 1bl 3to 3-4fg 3-5ft,2014-12-02,No,Home,109,117,Loss
PF,Luis Scola,21,5200,ind,pho,19,  8pt 5rb 2as 1st 1bl 4-7fg 0-1ft,2014-12-02,No,Away,99,116,Loss
PF,David West,20.7,6900,ind,pho,27,  10pt 6rb 3as 1bl 3to 5-12fg 0-0ft,2014-12-02,Yes,Away,99,116,Loss
PF,J.J. Hickson,20.6,4600,den,por,31,  11pt 8rb 1bl 2to 5-8fg 1-1ft,2014-12-02,No,Home,103,105,Loss
SF,C.J. Miles,20.4,3800,ind,pho,21,  17pt 2rb 1st 1to 1trey 6-9fg 4-4ft,2014-12-02,No,Away,99,116,Loss
PF,Channing Frye,20.1,4500,orl,gsw,30,  3pt 8rb 1as 1st 2bl 1trey 1-5fg 0-0ft,2014-12-02,Yes,Away,97,98,Loss
SF,Gerald Green,19.2,4900,pho,ind,21,  15pt 1rb 2as 1st 2to 4trey 5-11fg 1-2ft,2014-12-02,No,Home,116,99,Win
PF,Amir Johnson,18.9,4800,tor,sac,32,  8pt 7rb 1as 1st 1bl 3to 3-4fg 2-2ft,2014-12-02,Yes,Away,117,109,Win
PF,Reggie Evans,18.9,4300,sac,tor,32,  10pt 7rb 1as 1to 3-3fg 4-6ft,2014-12-02,No,Home,109,117,Loss
SF,Mike Miller,17.9,3500,cle,mil,18,  6pt 7rb 1as 1bl 2trey 2-4fg 0-0ft,2014-12-02,No,Home,111,108,Win
PF,Marreese Speights,17.8,5300,gsw,orl,15,  12pt 4rb 2as 2to 5-10fg 2-2ft,2014-12-02,No,Home,98,97,Win
SF,Shawn Marion,17.8,3800,cle,mil,32,  10pt 4rb 1st 1bl 1to 4-10fg 2-2ft,2014-12-02,Yes,Home,111,108,Win
PF,Jonas Jerebko,17.8,3500,det,lal,12,  9pt 4rb 1st 1bl 1trey 3-8fg 2-2ft,2014-12-02,No,Home,96,106,Loss
PF,Serge Ibaka,16.6,7900,okc,nor,36,  6pt 3rb 4bl 1to 3-11fg 0-0ft,2014-12-02,Yes,Away,104,112,Loss
PF,Patrick Patterson,16.6,4500,tor,sac,22,  12pt 3rb 1st 1to 2trey 5-10fg 0-0ft,2014-12-02,No,Away,117,109,Win
SF,Bojan Bogdanovic,16.4,4000,bkn,nyk,40,  10pt 2rb 2as 1st 1to 5-11fg 0-0ft,2014-12-02,Yes,Away,98,93,Win
SF,Evan Turner,16.4,4400,bos,atl,21,  12pt 2rb 2as 1st 3to 2trey 5-7fg 0-0ft,2014-12-02,No,Away,105,109,Loss
PF,Ersan Ilyasova,16.1,4500,mil,cle,12,  9pt 3rb 1as 1bl 1trey 3-7fg 2-2ft,2014-12-02,No,Away,108,111,Loss
SF,DeMarre Carroll,16.1,5300,atl,bos,35,  5pt 3rb 3as 3st 3to 1trey 2-8fg 0-0ft,2014-12-02,Yes,Home,109,105,Win
SF,Danilo Gallinari,15.8,3900,den,por,19,  9pt 4rb 1st 1trey 3-9fg 2-2ft,2014-12-02,No,Home,103,105,Loss
SF,Khris Middleton,14.9,4200,mil,cle,18,  3pt 2rb 3as 3st 1to 1trey 1-5fg 0-0ft,2014-12-02,No,Away,108,111,Loss
SF,P.J. Tucker,14.9,4700,pho,ind,23,  4pt 7rb 1as 1st 1to 2-6fg 0-0ft,2014-12-02,Yes,Home,116,99,Win
PF,Ed Davis,14.2,4600,lal,det,19,  3pt 11rb 2to 1-1fg 1-2ft,2014-12-02,No,Away,106,96,Win
PF,Kenneth Faried,14,5800,den,por,24,  8pt 5rb 4-6fg 0-0ft,2014-12-02,Yes,Home,103,105,Loss
PF,Marcus Morris,13.2,4200,pho,ind,23,  7pt 6rb 1to 3-5fg 1-2ft,2014-12-02,No,Home,116,99,Win
PF,Tristan Thompson,13.1,5000,cle,mil,26,  6pt 3rb 1as 1st 1bl 2to 3-4fg 0-0ft,2014-12-02,No,Home,111,108,Win
SF,Andre Iguodala,12.7,4200,gsw,orl,30,  6pt 1rb 3as 1st 1to 3-5fg 0-0ft,2014-12-02,No,Home,98,97,Win
SF,Caron Butler,12.4,3500,det,lal,29,  11pt 2rb 1to 2trey 4-7fg 1-1ft,2014-12-02,No,Home,96,106,Loss
SF,John Salmons,11.5,3500,nor,okc,25,  0pt 5rb 1as 1st 1bl 0-1fg 0-2ft,2014-12-02,No,Home,112,104,Win
SF,Chris Copeland,11,4900,ind,pho,24,  10pt 2as 2to 1trey 3-5fg 3-3ft,2014-12-02,No,Away,99,116,Loss
SF,Luke Babbitt,10.9,3500,nor,okc,15,  6pt 2rb 1as 1bl 1to 2trey 2-5fg 0-0ft,2014-12-02,Yes,Home,112,104,Win
SF,Luigi Datome,10.7,3500,det,lal,12,  7pt 1rb 1as 1st 1to 1trey 3-8fg 0-0ft,2014-12-02,No,Home,96,106,Loss
PF,Anthony Tolliver,10.5,3500,pho,ind,18,  3pt 5rb 1as 1trey 1-2fg 0-0ft,2014-12-02,No,Home,116,99,Win
SF,Jared Dudley,10.3,3500,mil,cle,20,  2pt 4rb 3as 1to 1-3fg 0-0ft,2014-12-02,No,Away,108,111,Loss
PF,Jason Thompson,10.1,3800,sac,tor,19,  4pt 3rb 1as 1bl 1to 2-3fg 0-0ft,2014-12-02,Yes,Home,109,117,Loss
PF,Darrell Arthur,9.9,4000,den,por,18,  6pt 2rb 1as 1st 2to 2-4fg 2-2ft,2014-12-02,No,Home,103,105,Loss
SF,Solomon Hill,9.3,5100,ind,pho,29,  2pt 4rb 1as 1st 1to 1-5fg 0-2ft,2014-12-02,Yes,Away,99,116,Loss
SF,Kyle Singler,8.9,3700,det,lal,17,  5pt 2rb 1as 1trey 2-5fg 0-0ft,2014-12-02,Yes,Home,96,106,Loss
PF,Brandon Bass,7.6,4200,bos,atl,18,  6pt 3rb 2to 3-9fg 0-0ft,2014-12-02,No,Away,105,109,Loss
SF,Richard Jefferson,7.4,3500,dal,chi,17,  3pt 2rb 2as 1to 1trey 1-2fg 0-0ft,2014-12-02,No,Away,132,129,Win
SF,Quincy Acy,6.4,3600,nyk,bkn,10,  4pt 2rb 1st 2to 2-3fg 0-0ft,2014-12-02,No,Home,93,98,Loss
PF,Jason Smith,6.4,3500,nyk,bkn,6,  2pt 2rb 1bl 1-3fg 0-0ft,2014-12-02,No,Home,93,98,Loss
PF,Mike Scott,5.2,3800,atl,bos,6,  4pt 1rb 2-2fg 0-0ft,2014-12-02,No,Home,109,105,Win
PF,Tyler Hansbrough,4.4,3500,tor,sac,9,  0pt 2rb 1st 0-0fg 0-0ft,2014-12-02,No,Away,117,109,Win
PF,Shavlik Randolph,3.2,3500,pho,ind,2,  0pt 1rb 1st 0-0fg 0-0ft,2014-12-02,No,Home,116,99,Win
SF,Lance Thomas,3.2,3800,okc,nor,4,  2pt 1rb 0-0fg 2-2ft,2014-12-02,No,Away,104,112,Loss
SF,T.J. Warren,3,3500,pho,ind,2,  3pt 1trey 1-2fg 0-0ft,2014-12-02,No,Home,116,99,Win
PF,Mirza Teletovic,2.9,4400,bkn,nyk,11,  2pt 2rb 1as 3to 1-4fg 0-0ft,2014-12-02,No,Away,98,93,Win
PF,Nick Collison,2,3500,okc,nor,7,  2pt 1-2fg 0-0ft,2014-12-02,No,Away,104,112,Loss
SF,Damjan Rudez,2,3500,ind,pho,2,  2pt 1-1fg 0-0ft,2014-12-02,No,Away,99,116,Loss
PF,Travis Wear,2,3500,nyk,bkn,6,  2pt 1-1fg 0-0ft,2014-12-02,No,Home,93,98,Loss
PF,Carl Landry,1.5,3500,sac,tor,2,  0pt 1as 1st 2to 0-0fg 0-0ft,2014-12-02,No,Home,109,117,Loss
SF,Al-Farouq Aminu,0.2,3500,dal,chi,7,  0pt 1rb 1to 0-1fg 0-0ft,2014-12-02,No,Away,132,129,Win
SF,Jae Crowder,0,3500,dal,chi,0,  0pt 0-0fg 0-0ft,2014-12-02,No,Away,132,129,Win
SF,Cartier Martin,-1,3500,det,lal,5,  0pt 1to 0-3fg 0-0ft,2014-12-02,No,Home,96,106,Loss
SF,Gerald Wallace,-2,3500,bos,atl,12,  0pt 2to 0-0fg 0-0ft,2014-12-02,No,Away,105,109,Loss
C,Brook Lopez,40.6,6200,bkn,nyk,35,  23pt 8rb 2as 3bl 1to 10-20fg 3-4ft,2014-12-02,Yes,Away,98,93,Win
C,Jordan Hill,40.1,6700,lal,det,31,  22pt 13rb 1as 1st 1to 10-15fg 2-2ft,2014-12-02,Yes,Away,106,96,Win
C,Joakim Noah,38.8,7800,chi,dal,36,  8pt 14rb 6as 2st 2bl 3to 4-7fg 0-0ft,2014-12-02,Yes,Home,129,132,Loss
C,Kyle O'Quinn,38.7,4500,orl,gsw,27,  21pt 11rb 1as 2st 1bl 3to 9-16fg 3-3ft,2014-12-02,Yes,Away,97,98,Loss
C,Andrew Bogut,37.9,6800,gsw,orl,32,  7pt 12rb 3as 2st 5bl 2to 3-7fg 1-2ft,2014-12-02,Yes,Home,98,97,Win
C,Roy Hibbert,32.5,6600,ind,pho,31,  15pt 10rb 1as 2st 1bl 2to 6-14fg 3-3ft,2014-12-02,Yes,Away,99,116,Loss
C,Tyson Chandler,30.3,7000,dal,chi,40,  5pt 14rb 3as 1st 2bl 2to 1-2fg 3-6ft,2014-12-02,Yes,Away,132,129,Win
C,Andre Drummond,28.6,7200,det,lal,25,  8pt 13rb 3bl 1to 3-9fg 2-4ft,2014-12-02,Yes,Home,96,106,Loss
C,Al Horford,27.2,6900,atl,bos,32,  16pt 6rb 2as 1bl 1to 8-13fg 0-0ft,2014-12-02,Yes,Home,109,105,Win
C,Mason Plumlee,26.6,3500,bkn,nyk,19,  10pt 8rb 2as 1st 1bl 4-6fg 2-6ft,2014-12-02,No,Away,98,93,Win
C,Kelly Olynyk,26.3,5100,bos,atl,20,  4pt 4rb 7as 3st 1bl 1to 1-4fg 2-2ft,2014-12-02,No,Away,105,109,Loss
C,Omer Asik,26.3,5100,nor,okc,27,  5pt 14rb 1as 2bl 1to 1-5fg 3-6ft,2014-12-02,Yes,Home,112,104,Win
C,Jonas Valanciunas,26.1,6000,tor,sac,33,  15pt 8rb 1as 1st 2to 3-6fg 9-10ft,2014-12-02,Yes,Away,117,109,Win
C,Anderson Varejao,23.1,5100,cle,mil,27,  8pt 8rb 1as 2st 4-8fg 0-0ft,2014-12-02,Yes,Home,111,108,Win
C,Miles Plumlee,22.9,4000,pho,ind,28,  6pt 7rb 1as 1st 3bl 1to 2-4fg 2-6ft,2014-12-02,Yes,Home,116,99,Win
C,Pero Antic,21.1,3500,atl,bos,20,  10pt 3rb 3as 2bl 1to 2trey 3-6fg 2-2ft,2014-12-02,No,Home,109,105,Win
C,Brandan Wright,18.3,4600,dal,chi,23,  4pt 4rb 1as 1st 3bl 1-2fg 2-2ft,2014-12-02,No,Away,132,129,Win
C,Tyler Zeller,17.6,3800,bos,atl,24,  8pt 3rb 2as 1st 1bl 1to 2-4fg 4-5ft,2014-12-02,Yes,Away,105,109,Loss
C,Robin Lopez,16.1,5900,por,den,31,  11pt 3rb 1as 5-5fg 1-2ft,2014-12-02,Yes,Away,105,103,Win
C,Larry Sanders,15.8,5700,mil,cle,23,  6pt 4rb 2as 1st 2-6fg 2-2ft,2014-12-02,Yes,Away,108,111,Loss
C,Steven Adams,15.5,4100,okc,nor,22,  2pt 5rb 1as 1st 2bl 1-2fg 0-1ft,2014-12-02,Yes,Away,104,112,Loss
C,Timofey Mozgov,15.5,5300,den,por,24,  7pt 5rb 1as 1bl 1to 3-4fg 1-2ft,2014-12-02,Yes,Home,103,105,Loss
C,Zaza Pachulia,14.3,4100,mil,cle,25,  5pt 4rb 1as 1st 1bl 1to 2-6fg 1-2ft,2014-12-02,No,Away,108,111,Loss
C,Joel Freeland,12.4,3500,por,den,10,  2pt 7rb 1st 1bl 2to 1-2fg 0-0ft,2014-12-02,No,Away,105,103,Win
C,Kendrick Perkins,12.1,3700,okc,nor,19,  4pt 8rb 1as 3to 2-5fg 0-0ft,2014-12-02,No,Away,104,112,Loss
C,Cole Aldrich,11.5,3500,nyk,bkn,18,  2pt 5rb 1as 1st 1-4fg 0-0ft,2014-12-02,No,Home,93,98,Loss
C,Ian Mahinmi,11,3900,ind,pho,15,  4pt 5rb 1st 1to 2-2fg 0-0ft,2014-12-02,No,Away,99,116,Loss
C,Alex Len,8.9,3700,pho,ind,15,  0pt 2rb 1as 1st 2bl 1to 0-2fg 0-0ft,2014-12-02,No,Home,116,99,Win
C,Samuel Dalembert,7.1,3900,nyk,bkn,15,  2pt 3rb 1as 1bl 2to 1-2fg 0-0ft,2014-12-02,Yes,Home,93,98,Loss
C,Robert Sacre,6.2,3600,lal,det,17,  3pt 1rb 1bl 1-8fg 1-2ft,2014-12-02,No,Away,106,96,Win
C,Chris Kaman,5.2,5000,por,den,17,  4pt 1rb 1bl 2to 2-6fg 0-0ft,2014-12-02,No,Away,105,103,Win
C,Dewayne Dedmon,4,3500,orl,gsw,7,  4pt 2-2fg 0-0ft,2014-12-02,No,Away,97,98,Loss
C,Lavoy Allen,3.4,4500,ind,pho,2,  2pt 2rb 1to 1-2fg 0-0ft,2014-12-02,No,Away,99,116,Loss
C,Ryan Hollins,3.2,3500,sac,tor,7,  2pt 1rb 1-2fg 0-0ft,2014-12-02,Yes,Home,109,117,Loss
C,Shayne Whittington,2,3500,ind,pho,2,  0pt 1st 0-0fg 0-0ft,2014-12-02,No,Away,99,116,Loss
C,Alexis Ajinca,2,3500,nor,okc,6,  2pt 0-1fg 2-2ft,2014-12-02,No,Home,112,104,Win
C,Jerome Jordan,0,3500,bkn,nyk,1,  0pt 0-0fg 0-0ft,2014-12-02,No,Away,98,93,Win
PG,Kyle Lowry,51,8700,tor,uta,38,  39pt 5rb 4as 1st 2to 4trey 13-22fg 9-9ft,2014-12-03,Yes,Away,123,104,Win
PG,Jeff Teague,46,7100,atl,mia,34,  27pt 5rb 6as 3st 2to 3trey 8-11fg 8-8ft,2014-12-03,Yes,Away,112,102,Win
SG,Danny Green,45,4900,sas,bkn,33,  20pt 10rb 2as 2st 3bl 6trey 7-14fg 0-0ft,2014-12-03,Yes,Away,93,95,Loss
PG,Brandon Knight,44.7,7100,mil,dal,32,  25pt 6rb 5as 4st 3to 2trey 8-16fg 7-7ft,2014-12-03,Yes,Home,105,107,Loss
PG,Michael Carter-Williams,44.3,8600,phi,min,43,  20pt 9rb 9as 3st 6to 9-20fg 2-7ft,2014-12-03,Yes,Away,85,77,Win
SG,Dwyane Wade,44.1,7900,mia,atl,34,  28pt 3rb 7as 2st 1bl 4to 11-20fg 6-9ft,2014-12-03,Yes,Home,102,112,Loss
SG,Monta Ellis,43.9,7300,dal,mil,36,  23pt 2rb 7as 3st 1bl 11-26fg 1-1ft,2014-12-03,Yes,Away,107,105,Win
PG,Mario Chalmers,42.5,5800,mia,atl,35,  19pt 5rb 11as 1st 1bl 3to 6-8fg 7-9ft,2014-12-03,Yes,Home,102,112,Loss
PG,John Wall,42.3,9000,was,lal,37,  17pt 4rb 15as 1bl 4to 1trey 6-18fg 4-5ft,2014-12-03,Yes,Home,111,95,Win
PG,Chris Paul,41,9900,lac,orl,29,  19pt 5rb 10as 1st 1to 3trey 7-10fg 2-2ft,2014-12-03,Yes,Home,114,86,Win
PG,Kemba Walker,41,7000,cha,chi,36,  23pt 5rb 4as 1st 2bl 1trey 7-18fg 8-9ft,2014-12-03,Yes,Home,95,102,Loss
SG,Bradley Beal,40.9,6600,was,lal,37,  27pt 2rb 7as 1st 1to 3trey 11-19fg 2-2ft,2014-12-03,Yes,Home,111,95,Win
SG,James Harden,36.8,10600,hou,mem,28,  21pt 4rb 4as 3st 1bl 3to 2trey 6-11fg 7-8ft,2014-12-03,Yes,Home,105,96,Win
SG,Kobe Bryant,36.3,9200,lal,was,34,  29pt 4rb 3as 1st 4to 2trey 8-22fg 11-14ft,2014-12-03,Yes,Away,95,111,Loss
SG,Lance Stephenson,33.6,6400,cha,chi,40,  20pt 8rb 4as 1st 4to 9-18fg 2-2ft,2014-12-03,Yes,Home,95,102,Loss
SG,Jason Terry,33.1,3800,hou,mem,31,  16pt 3rb 5as 4st 2to 3trey 5-10fg 3-5ft,2014-12-03,Yes,Home,105,96,Win
PG,Deron Williams,32.1,7800,bkn,sas,39,  17pt 3rb 9as 2to 2trey 6-15fg 3-4ft,2014-12-03,Yes,Home,95,93,Win
SG,Manu Ginobili,31.7,4900,sas,bkn,29,  15pt 6rb 5as 1st 2trey 6-13fg 1-2ft,2014-12-03,No,Away,93,95,Loss
PG,Trey Burke,31.6,5900,uta,tor,34,  15pt 3rb 8as 1st 1to 3trey 6-15fg 0-0ft,2014-12-03,Yes,Home,104,123,Loss
PG,Greivis Vasquez,30.3,3900,tor,uta,31,  17pt 4rb 5as 1st 1to 3trey 7-13fg 0-1ft,2014-12-03,Yes,Away,123,104,Win
SG,Kyle Korver,30.2,5300,atl,mia,35,  18pt 6rb 2as 2st 2to 3trey 6-12fg 3-3ft,2014-12-03,Yes,Away,112,102,Win
PG,Maurice Williams,28.7,5600,min,phi,39,  14pt 6rb 7as 1st 5to 2trey 5-14fg 2-2ft,2014-12-03,Yes,Home,77,85,Loss
SG,Louis Williams,28,4900,tor,uta,26,  17pt 5rb 2as 2st 2to 1trey 5-9fg 6-6ft,2014-12-03,No,Away,123,104,Win
SG,Jimmy Butler,27.9,8000,chi,cha,39,  15pt 2rb 5as 2st 1to 1trey 5-11fg 4-4ft,2014-12-03,Yes,Away,102,95,Win
PG,Mike Conley,27.4,6900,mem,hou,27,  15pt 2rb 6as 3st 5to 1trey 5-9fg 4-4ft,2014-12-03,Yes,Away,96,105,Loss
SG,Kentavious Caldwell-Pope,26.7,4700,det,bos,41,  15pt 6rb 1as 2st 1to 3trey 6-15fg 0-0ft,2014-12-03,Yes,Away,102,109,Loss
SG,Nick Young,26.4,5100,lal,was,24,  21pt 2rb 1st 1bl 1to 5trey 7-14fg 2-2ft,2014-12-03,No,Away,95,111,Loss
SG,O.J. Mayo,23.1,5100,mil,dal,27,  12pt 3rb 5as 1st 2to 2trey 3-7fg 4-6ft,2014-12-03,Yes,Home,105,107,Loss
PG,Derrick Rose,22.9,7000,chi,cha,28,  15pt 2rb 5as 2to 2trey 5-12fg 3-3ft,2014-12-03,Yes,Away,102,95,Win
PG,Dennis Schroder,22.7,3800,atl,mia,22,  16pt 1rb 3as 1st 1to 2trey 6-9fg 2-2ft,2014-12-03,No,Away,112,102,Win
SG,J.J. Redick,22,4300,lac,orl,28,  20pt 1bl 4trey 7-11fg 2-2ft,2014-12-03,Yes,Home,114,86,Win
PG,Brandon Jennings,21.8,7200,det,bos,39,  1pt 4rb 12as 2to 0-11fg 1-2ft,2014-12-03,Yes,Away,102,109,Loss
PG,Ronnie Price,21.4,3600,lal,was,27,  11pt 2rb 4as 2st 2to 3trey 4-4fg 0-0ft,2014-12-03,No,Away,95,111,Loss
