season,week,player_id,mfl_id,name,position,team,ff_pts,pass_comp,pass_att,pass_yds,pass_td,pass_int,sacked,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,xp,fg,pass_1d,rush_1d,rec_1d,ff_pts_ppr,ff_pts_half,fumbles_recovered,td,sacks,points_allowed
2020,15,brownm4,12386,Malcolm Brown,RB,MIA,2.703,0.000,0.000,0.000,0.000,0.000,0.000,0.894,3.870,0.250,0.837,7.163,0.019,0.007,0.000,0.000,0.000,0.194,0.328,3.540,3.12150,NA,NA,NA,NA
2020,15,hillb2,13240,Brian Hill,RB,TEN,2.632,0.000,0.000,0.000,0.000,0.000,0.000,3.670,13.698,0.055,1.310,9.560,0.008,0.036,0.000,0.000,0.000,0.686,0.439,3.942,3.28700,NA,NA,NA,NA
2020,15,howelb1,13916,Buddy Howell,RB,HOU,2.207,0.000,0.000,0.000,0.000,0.000,0.000,2.302,7.882,0.000,1.492,12.048,0.046,0.031,0.000,0.000,0.000,0.395,0.552,3.699,2.95300,NA,NA,NA,NA
2020,15,mcnicj1,13143,Jeremy McNichols,RB,TEN,2.196,0.000,0.000,0.000,0.000,0.000,0.000,3.503,14.061,0.000,1.400,7.095,0.021,0.023,0.000,0.000,0.000,0.704,0.331,3.596,2.89600,NA,NA,NA,NA
2020,15,tayloj3,14827,J.J. Taylor,RB,NE,2.144,0.000,0.000,0.000,0.000,0.000,0.000,4.749,20.573,0.000,0.329,1.805,0.000,0.047,0.000,0.000,0.000,1.031,0.084,2.473,2.30850,NA,NA,NA,NA
2020,15,washid1,12857,DeAndre Washington,RB,MIA,2.135,0.000,0.000,0.000,0.000,0.000,0.000,2.689,8.121,0.139,0.645,5.310,0.000,0.021,0.000,0.000,0.000,0.407,0.243,2.780,2.45750,NA,NA,NA,NA
2020,15,richaj1,12912,Jalen Richard,RB,LV,2.106,0.000,0.000,0.000,0.000,0.000,0.000,2.523,10.348,0.084,0.837,5.535,0.009,0.020,0.000,0.000,0.000,0.518,0.255,2.943,2.52450,NA,NA,NA,NA
2020,15,smithr5,14809,Rodney Smith,RB,CAR,1.943,0.000,0.000,0.000,0.000,0.000,0.000,3.895,15.569,0.000,0.678,3.804,0.014,0.039,0.000,0.000,0.000,0.780,0.177,2.621,2.28200,NA,NA,NA,NA
2020,15,breidm1,13378,Matt Breida,RB,BUF,1.661,0.000,0.000,0.000,0.000,0.000,0.000,1.919,8.121,0.093,0.323,3.186,0.000,0.014,0.000,0.000,0.000,0.407,0.145,1.984,1.82250,NA,NA,NA,NA
2020,15,abdula1,12155,Ameer Abdullah,RB,MIN,1.561,0.000,0.000,0.000,0.000,0.000,0.000,2.049,8.643,0.000,0.751,5.310,0.034,0.019,0.000,0.000,0.000,0.433,0.244,2.312,1.93650,NA,NA,NA,NA
2020,15,mcfara1,14804,Anthony McFarland,RB,PIT,1.538,0.000,0.000,0.000,0.000,0.000,0.000,3.289,14.616,0.018,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.732,0.000,1.538,1.53800,NA,NA,NA,NA
