game_id,closing_be_home,closing_be_away,closing_ml_home,closing_ml_away,home_prob,away_prob,home_away,team,over_under,line,closing_be,closing_odds,closing_prob,home,away,season_type,home_hits,home_score,away_hits,away_score,total_runs,total_hits,home_win,away_win,home_win_margin,away_win_margin,both_teams_score_1,both_teams_score_2,both_teams_score_3,both_teams_score_4,both_teams_score_5,both_teams_score_6,both_teams_score_7,both_teams_score_8,both_teams_score_9,total_over_prob,total_under_prob
90604,0.6621621621621622,0.37735849056603776,-196,165,0.6359930813015974,0.3640069186984026,home,STL,under,9,0.5169082125603864,-107,0.49464312125274834,STL,WSH,2023 REG,6,5,8,7,12,14,0,1,-2,2,1,1,1,1,1,0,0,0,0,0.5053568787472517,0.49464312125274834
90605,0.5073891625615764,0.5348837209302326,-103,-115,0.4859403596076043,0.5140596403923957,away,CIN,over,9,0.5454545454545454,-120,0.5206611570247933,STL,CIN,2023 REG,6,2,17,19,21,23,0,1,-17,17,1,1,0,0,0,0,0,0,0,0.5206611570247933,0.4793388429752067
90605,0.5073891625615764,0.5348837209302326,-103,-115,0.4859403596076043,0.5140596403923957,home,STL,under,9,0.5,100,0.4793388429752067,STL,CIN,2023 REG,6,2,17,19,21,23,0,1,-17,17,1,1,0,0,0,0,0,0,0,0.5206611570247933,0.4793388429752067
90606,0.6551724137931035,0.3846153846153846,-190,160,0.6291045458703008,0.37089545412969915,away,WSH,over,8.5,0.5238095238095238,-110,0.4988662131519274,MIL,WSH,2023 REG,7,5,6,3,8,13,1,0,2,-2,1,1,1,0,0,0,0,0,0,0.4988662131519274,0.5011337868480725
90606,0.6551724137931035,0.3846153846153846,-190,160,0.6291045458703008,0.37089545412969915,home,MIL,under,8.5,0.5238095238095238,-110,0.5011337868480725,MIL,WSH,2023 REG,7,5,6,3,8,13,1,0,2,-2,1,1,1,0,0,0,0,0,0,0.4988662131519274,0.5011337868480725
90607,0.36363636363636365,0.6794871794871794,175,-212,0.34795507522780256,0.6520449247721974,away,HOU,over,9.5,0.5238095238095238,-110,0.5000596729920038,ARI,HOU,2023 REG,6,1,9,8,9,15,0,1,-7,7,1,0,0,0,0,0,0,0,0,0.5000596729920038,0.4999403270079962
90607,0.36363636363636365,0.6794871794871794,175,-212,0.34795507522780256,0.6520449247721974,home,ARI,under,9.5,0.5215311004784688,-109,0.4999403270079962,ARI,HOU,2023 REG,6,1,9,8,9,15,0,1,-7,7,1,0,0,0,0,0,0,0,0,0.5000596729920038,0.4999403270079962
90608,0.5454545454545454,0.5,-120,100,0.5206611570247933,0.4793388429752067,away,ARI,over,10,0.5348837209302326,-115,0.5097020142727117,LAA,ARI,2023 REG,3,1,9,3,4,12,0,1,-2,2,1,0,0,0,0,0,0,0,0,0.5097020142727117,0.49029798572728833
90608,0.5454545454545454,0.5,-120,100,0.5206611570247933,0.4793388429752067,home,LAA,under,10,0.5121951219512195,-105,0.49029798572728833,LAA,ARI,2023 REG,3,1,9,3,4,12,0,1,-2,2,1,0,0,0,0,0,0,0,0,0.5097020142727117,0.49029798572728833
90609,0.3921568627450981,0.6428571428571428,155,-180,0.37842588015598405,0.6215741198440159,away,BOS,over,9,0.5,100,0.4772727272727273,OAK,BOS,2023 REG,7,3,5,0,3,12,1,0,3,-3,0,0,0,0,0,0,0,0,0,0.4772727272727273,0.5227272727272727
90609,0.3921568627450981,0.6428571428571428,155,-180,0.37842588015598405,0.6215741198440159,home,OAK,under,9,0.5454545454545454,-120,0.5227272727272727,OAK,BOS,2023 REG,7,3,5,0,3,12,1,0,3,-3,0,0,0,0,0,0,0,0,0,0.4772727272727273,0.5227272727272727
90610,0.6226415094339623,0.4132231404958678,-165,142,0.6003106896663323,0.3996893103336677,away,CIN,over,7.5,0.5454545454545454,-120,0.5206611570247933,CHC,CIN,2023 REG,9,5,14,8,13,23,0,1,-3,3,1,1,1,1,1,0,0,0,0,0.5206611570247933,0.4793388429752067
90610,0.6226415094339623,0.4132231404958678,-165,142,0.6003106896663323,0.3996893103336677,home,CHC,under,7.5,0.5,100,0.4793388429752067,CHC,CIN,2023 REG,9,5,14,8,13,23,0,1,-3,3,1,1,1,1,1,0,0,0,0,0.5206611570247933,0.4793388429752067
90611,0.6610169491525424,0.37878787878787884,-195,164,0.6347052832258232,0.3652947167741768,away,CIN,over,7,0.5475113122171946,-121,0.5242087833606768,PHI,CIN,2023 REG,10,5,6,2,7,16,1,0,3,-3,1,1,0,0,0,0,0,0,0,0.5242087833606768,0.4757912166393232
90611,0.6610169491525424,0.37878787878787884,-195,164,0.6347052832258232,0.3652947167741768,home,PHI,under,7,0.49504950495049505,102,0.4757912166393232,PHI,CIN,2023 REG,10,5,6,2,7,16,1,0,3,-3,1,1,0,0,0,0,0,0,0,0.5242087833606768,0.4757912166393232
90612,0.5238095238095238,0.5192307692307692,-110,-108,0.5012646084074657,0.4987353915925343,away,BAL,over,9.5,0.5024875621890548,-101,0.4794401874631478,PHI,BAL,2023 REG,9,6,8,4,10,17,1,0,2,-2,1,1,1,1,0,0,0,0,0,0.4794401874631478,0.5205598125368522
