playerName,teamName,oppName,passComp,passAtt,passYds,passTd,passInt,rushAtt,rushYds,recvReceptions,recvYds
Jeremy Sprinkle,WAS,TB,0,0,0,0,0,0,0,0.2081,2.0658
Reggie Gilliam,BUF,IND,0,0,0,0,0,0,0,0.108,1.2026
Marcus Baugh,WAS,TB,0,0,0,0,0,0,0,0.1052,1.1683
J.P. Holtz,CHI,@NO,0,0,0,0,0,0,0,0.025,0.2636
Johnny Mundt,LA,@SEA,0,0,0,0,0,0,0,0.0221,0.2257
Stephen Gostkowski,TEN,BLT,0,0,0,0,0,0,0,0,0
Ryan Succop,TB,@WAS,0,0,0,0,0,0,0,0,0
Tyler Bass,BUF,IND,0,0,0,0,0,0,0,0,0
Justin Tucker,BLT,@TEN,0,0,0,0,0,0,0,0,0
Jason Myers,SEA,LA,0,0,0,0,0,0,0,0,0
Wil Lutz,NO,CHI,0,0,0,0,0,0,0,0,0
Rodrigo Blankenship,IND,@BUF,0,0,0,0,0,0,0,0,0
Matt Gay,LA,@SEA,0,0,0,0,0,0,0,0,0
Chris Boswell,PIT,CLV,0,0,0,0,0,0,0,0,0
Cody Parkey,CLV,@PIT,0,0,0,0,0,0,0,0,0
Dustin Hopkins,WAS,TB,0,0,0,0,0,0,0,0,0
Cairo Santos,CHI,@NO,0,0,0,0,0,0,0,0,0
Seahawks DST,SEA,LA,0,0,0,0,0,0,0,0,0
Steelers DST,PIT,CLV,0,0,0,0,0,0,0,0,0
Rams DST,LA,@SEA,0,0,0,0,0,0,0,0,0
Saints DST,NO,CHI,0,0,0,0,0,0,0,0,0
Bills DST,BUF,IND,0,0,0,0,0,0,0,0,0
Buccaneers DST,TB,@WAS,0,0,0,0,0,0,0,0,0
Browns DST,CLV,@PIT,0,0,0,0,0,0,0,0,0
Ravens DST,BLT,@TEN,0,0,0,0,0,0,0,0,0
Colts DST,IND,@BUF,0,0,0,0,0,0,0,0,0
Titans DST,TEN,BLT,0,0,0,0,0,0,0,0,0
Football Team DST,WAS,TB,0,0,0,0,0,0,0,0,0
Bears DST,CHI,@NO,0,0,0,0,0,0,0,0,0
