season,week,team,opponent
2020,12,BAL,PIT
2020,13,NO,ATL
2020,13,DET,CHI
2020,13,IND,HOU
2020,13,CIN,MIA
2020,13,JAX,MIN
2020,13,LV,NYJ
2020,13,CLE,TEN
2020,13,LA,ARI
2020,13,NYG,SEA
2020,13,PHI,GB
2020,13,NE,LAC
2020,13,DEN,KC
2020,13,WAS,PIT
2020,13,BUF,SF
2020,13,DAL,BAL
2020,14,NE,LA
2020,14,DEN,CAR
2020,14,HOU,CHI
2020,14,DAL,CIN
2020,14,TEN,JAX
2020,14,KC,MIA
2020,14,ARI,NYG
2020,14,MIN,TB
2020,14,IND,LV
2020,14,NYJ,SEA
2020,14,GB,DET
2020,14,ATL,LAC
2020,14,NO,PHI
2020,14,WAS,SF
2020,14,PIT,BUF
2020,14,BAL,CLE
2020,15,LAC,LV
2020,15,BUF,DEN
2020,15,CAR,GB
2020,15,TB,ATL
2020,15,JAX,BAL
2020,15,SF,DAL
2020,15,HOU,IND
2020,15,NE,MIA
2020,15,CHI,MIN
2020,15,DET,TEN
2020,15,SEA,WAS
2020,15,PHI,ARI
2020,15,NYJ,LA
2020,15,KC,NO
2020,15,CLE,NYG
2020,15,PIT,CIN
2020,16,MIN,NO
2020,16,TB,DET
2020,16,SF,ARI
2020,16,MIA,LV
2020,16,NYG,BAL
2020,16,CIN,HOU
2020,16,CHI,JAX
2020,16,ATL,KC
2020,16,CLE,NYJ
2020,16,IND,PIT
2020,16,DEN,LAC
2020,16,CAR,WAS
2020,16,PHI,DAL
2020,16,LA,SEA
2020,16,TEN,GB
2020,16,BUF,NE
2020,17,MIA,BUF
2020,17,BAL,CIN
2020,17,PIT,CLE
2020,17,MIN,DET
2020,17,NYJ,NE
2020,17,DAL,NYG
2020,17,ATL,TB
2020,17,NO,CAR
2020,17,GB,CHI
2020,17,LV,DEN
2020,17,TEN,HOU
2020,17,JAX,IND
2020,17,LAC,KC
2020,17,ARI,LA
2020,17,SEA,SF
2020,17,WAS,PHI
2020,18,IND,BUF
2020,18,LA,SEA
2020,18,TB,WAS
2020,18,BAL,TEN
2020,18,CHI,NO
2020,18,CLE,PIT
2021,1,DAL,TB
2021,1,PHI,ATL
