week,year,Pos,Team,H.A,Oppt,FDP,DKSalary,player
17,2016,PK,CIN,h,BAL,9,4500,Randy Bullock
17,2016,PK,DAL,a,PHI,8,4800,Dan Bailey
17,2016,PK,MIN,h,CHI,8,4500,Kai Forbath
17,2016,PK,ATL,h,NO,8,5300,Matt Bryant
17,2016,PK,NYG,a,WAS,8,4500,Robbie Gould
17,2016,PK,DET,h,GB,8,5000,Matt Prater
17,2016,PK,IND,h,JAX,7,5200,Adam Vinatieri
17,2016,PK,GB,a,DET,7,4700,Mason Crosby
17,2016,PK,DEN,h,LV,6,4600,Brandon McManus
17,2016,PK,TEN,h,HOU,6,4500,Ryan Succop
17,2016,PK,CAR,a,TB,6,4800,Graham Gano
17,2016,PK,CLE,a,PIT,6,4500,Cody Parkey
17,2016,PK,LA,h,ARI,6,4500,Greg Zuerlein
17,2016,PK,HOU,a,TEN,5,4700,Nick Novak
17,2016,PK,TB,h,CAR,5,4500,Roberto Aguayo
17,2016,PK,CHI,a,MIN,4,4600,Connor Barth
17,2016,PK,BUF,a,NYJ,4,4700,Dan Carpenter
17,2016,PK,WAS,h,NYG,4,4800,Dustin Hopkins
17,2016,PK,BAL,a,CIN,4,5200,Justin Tucker
17,2016,PK,SF,h,SEA,3,4500,Phil Dawson
17,2016,PK,PIT,h,CLE,3,4700,Chris Boswell
17,2016,PK,MIA,h,NE,2,4600,Andrew Franks
17,2016,PK,LV,a,DEN,0,5000,Sebastian Janikowski
17,2016,Def,ARI,a,LA,26,4700,Cardinals DST
17,2016,Def,MIN,h,CHI,22,4600,Vikings DST
17,2016,Def,NYG,a,WAS,20,4500,Giants DST
17,2016,Def,NYJ,h,BUF,19,4100,Jets DST
17,2016,Def,TB,h,CAR,16,4500,Buccaneers DST
17,2016,Def,DEN,h,LV,15,4800,Broncos DST
17,2016,Def,PHI,h,DAL,13,4300,Eagles DST
17,2016,Def,CAR,a,TB,13,4200,Panthers DST
17,2016,Def,TEN,h,HOU,13,4600,Titans DST
17,2016,Def,PIT,h,CLE,12,5100,Steelers DST
17,2016,Def,CIN,h,BAL,11,4400,Bengals DST
17,2016,Def,JAX,a,IND,10,4100,Jaguars DST
17,2016,Def,KC,a,SDG,10,4900,Chiefs DST
17,2016,Def,SEA,a,SF,9,5200,Seahawks DST
17,2016,Def,SDG,h,KC,8,4200,NA
17,2016,Def,HOU,a,TEN,7,4600,Texans DST
17,2016,Def,IND,h,JAX,7,4200,Colts DST
17,2016,Def,CLE,a,PIT,6,4000,Browns DST
