dateGame,locationGame,slugTeam,Opp,namePlayer,fgm,fga,3-pointers,fg3a,fg2m,fg2a,minutes,ftm,fta,rebounds,assists,steals,blocks,turnovers,points,fpts,urlPlayerHeadshot
2019-12-31,H,TOR,CLE,Stanley Johnson,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626169.png
2019-12-31,A,CLE,TOR,Collin Sexton,8,15,1,4,7,11,32,5,5,1,1,1,0,2,22,25.7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629012.png
2019-12-31,A,CLE,TOR,Kevin Love,4,11,1,7,3,4,30,1,1,11,2,0,2,3,10,29.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201567.png
2019-12-31,H,TOR,CLE,OG Anunoby,5,8,2,3,3,5,30,0,0,7,4,1,0,1,12,28.4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
2019-12-31,H,TOR,CLE,Serge Ibaka,8,11,2,3,6,8,33,2,2,10,2,1,1,3,20,38,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201586.png
2019-12-31,A,CLE,TOR,Tristan Thompson,5,6,0,0,5,6,32,4,5,11,0,0,0,2,14,25.2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202684.png
2019-12-31,H,TOR,CLE,Shamorie Ponds,1,1,1,1,0,0,2,2,2,0,0,0,0,0,5,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629044.png
2019-12-31,A,CLE,TOR,John Henson,0,2,0,0,0,2,6,0,0,0,1,1,1,0,0,7.5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203089.png
2019-12-31,A,CLE,TOR,Kevin Porter,6,17,1,6,5,11,28,0,0,4,4,0,0,2,13,21.8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629645.png
2019-12-31,H,CHA,BOS,Cody Martin,3,7,1,4,2,3,18,0,0,3,1,0,0,2,7,10.1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628998.png
2019-12-31,A,BOS,CHA,Romeo Langford,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629641.png
2019-12-31,A,BOS,CHA,Gordon Hayward,9,14,3,6,6,8,35,0,0,10,6,0,0,2,21,40,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png
2019-12-31,H,CHA,BOS,Willy Hernangomez,1,4,0,1,1,3,2,0,1,2,1,0,0,0,2,5.9,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626195.png
2019-12-31,H,CHA,BOS,Marvin Williams,0,2,0,1,0,1,13,0,0,3,0,0,0,0,0,3.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101107.png
2019-12-31,A,BOS,CHA,Kemba Walker,9,19,3,7,6,12,31,1,1,4,7,3,1,1,22,48.3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202689.png
2019-12-31,A,BOS,CHA,Javonte Green,1,3,0,1,1,2,9,0,0,3,0,1,0,1,2,7.6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629750.png
